iter	RMSE
0	6.891957696
1	6.354704976
2	5.885531651
3	5.42871923
4	5.031095325
5	4.653610066
6	4.323290323
7	4.00341253
8	3.715383386
9	3.453961819
10	3.206276105
11	2.984767421
12	2.777821585
13	2.591692131
14	2.427224595
15	2.260599816
16	2.116957115
17	1.977074973
18	1.844377602
19	1.722940689
20	1.615332001
21	1.513474604
22	1.41705945
23	1.346729964
24	1.274694167
25	1.20889006
26	1.143515857
27	1.083282458
28	1.027855695
29	0.9811113963
30	0.933374734
31	0.8969995708
32	0.8625107206
33	0.8303243096
34	0.8008000442
35	0.7694041704
36	0.7444268503
37	0.7178377494
38	0.6930156949
39	0.6701453294
40	0.6500597096
41	0.6303291677
42	0.612850558
43	0.5981692697
44	0.5839945687
45	0.5719787731
46	0.560362018
47	0.5490560112
48	0.5382717614
49	0.5293019039
50	0.5196334441
51	0.5117730005
52	0.5051306111
53	0.4968811187
54	0.4894218369
55	0.4814940683
56	0.4745276465
57	0.4691251484
58	0.4642416143
59	0.4585116339
60	0.4516366786
61	0.4462959204
62	0.4418158242
63	0.4377737725
64	0.4333079825
65	0.4294191928
66	0.4245392607
67	0.4210543606
68	0.4182883951
69	0.414954235
70	0.4124898502
71	0.4084867414
72	0.4044070978
73	0.4014556281
74	0.39770242
75	0.3961341961
76	0.3925067075
77	0.3893962559
78	0.3861784732
79	0.3822219866
80	0.3778824836
81	0.3763754256
82	0.3748379972
83	0.3728621206
84	0.3711525893
85	0.3679333501
86	0.3666068535
87	0.3653161037
88	0.3628501819
89	0.3602669594
90	0.3582004328
91	0.3559421357
92	0.352096181
93	0.3493102416
94	0.3463544079
95	0.3450605077
96	0.344069673
97	0.3432993202
98	0.3420783952
99	0.3406778456
100	0.3372096765
101	0.3367180076
102	0.3344625756
103	0.3332563634
104	0.3311000186
105	0.3289638377
106	0.3266405227
107	0.3252623657
108	0.3240198781
109	0.3232542216
110	0.3204437136
111	0.3188571893
112	0.3160860428
113	0.315238163
114	0.3127861203
115	0.3111072784
116	0.3097399692
117	0.3079462591
118	0.3069161145
119	0.3043905469
120	0.302091139
121	0.3002413916
122	0.2975662265
123	0.2970150396
124	0.2964555537
125	0.2945866892
126	0.2920632035
127	0.2914462753
128	0.2893836425
129	0.287848894
130	0.2874366962
131	0.2860091528
132	0.2843399463
133	0.2823242811
134	0.2821523057
135	0.280170266
136	0.2788804374
137	0.2784125707
138	0.2766741594
139	0.2754425839
140	0.2734931008
141	0.2718696202
142	0.2716962975
143	0.271360763
144	0.2694237768
145	0.2682635367
146	0.2676922522
147	0.266491683
148	0.264737498
149	0.2630684143
150	0.2613974583
151	0.2609995077
152	0.2599039994
153	0.2589218282
154	0.2587299134
155	0.2578456424
156	0.2561089213
157	0.2558857702
158	0.2540063323
159	0.253831154
160	0.2518332922
161	0.2516292394
162	0.2498636367
163	0.2486678972
164	0.2466666498
165	0.2457663029
166	0.2441357624
167	0.2431271364
168	0.242098998
169	0.240812139
170	0.239261455
171	0.238056691
172	0.2372559996
173	0.2360921756
174	0.2347384373
175	0.2333776718
176	0.2323979752
177	0.232049439
178	0.2307873183
179	0.2297527432
180	0.2290810849
181	0.2281158972
182	0.2278109327
183	0.2271375469
184	0.2264083329
185	0.2255011862
186	0.2245511695
187	0.2236879391
188	0.2231915416
189	0.2224827717
190	0.2216363182
191	0.2206899925
192	0.2198234052
193	0.2190640411
194	0.21891328
195	0.2179473793
196	0.2173836467
197	0.2166845919
198	0.2158041476
199	0.2152575086
200	0.2143263755
201	0.2135396608
202	0.2125556976
203	0.211809554
204	0.2109217737
205	0.2099457499
206	0.2094659706
207	0.2091832729
208	0.2081966049
209	0.207629991
210	0.2072215655
211	0.206336816
212	0.2057260169
213	0.2048186447
214	0.2042072782
215	0.20374516
216	0.2027281825
217	0.2020315036
218	0.2014464828
219	0.2011002913
220	0.2004037084
221	0.1994767817
222	0.1989014006
223	0.1983915247
224	0.1980516321
225	0.1976298728
226	0.1973261207
227	0.1966666359
228	0.1962877197
229	0.1956885832
230	0.1949052516
231	0.1946103086
232	0.1938460673
233	0.1935280307
234	0.1931632395
235	0.1924747873
236	0.1916036609
237	0.1911617881
238	0.1906519277
239	0.1903047857
240	0.1898458761
241	0.1893475821
242	0.1888282252
243	0.1879913976
244	0.1873527329
245	0.1868758823
246	0.1862701609
247	0.1860241622
248	0.1854479957
249	0.1846256566
250	0.1839811218
251	0.1833411592
252	0.1828092554
253	0.1827337318
254	0.1821344105
255	0.1818347272
256	0.1817649342
257	0.1813533152
258	0.1806622493
259	0.1805975056
260	0.1800562918
261	0.1799961589
262	0.179910567
263	0.1796669807
264	0.1792520285
265	0.1788145751
266	0.1784207522
267	0.1780318918
268	0.1779781436
269	0.177487663
270	0.1774376081
271	0.1767943499
272	0.1767647976
273	0.1766978394
274	0.1765026589
275	0.1764748736
276	0.176448278
277	0.1760062706
278	0.1756330305
279	0.1750334493
280	0.1745384942
281	0.1745125247
282	0.1741784559
283	0.1739034203
284	0.1735606925
285	0.1732795144
286	0.1729854133
287	0.1725033511
288	0.1721570412
289	0.1719565978
290	0.1716849632
291	0.1714651809
292	0.1714327288
293	0.1707574052
294	0.1707339005
295	0.1702740707
296	0.1702189439
297	0.1699102873
298	0.1696883618
299	0.1695388907
300	0.1692036541
301	0.1683676305
302	0.1679608593
303	0.1674206903
304	0.1670887172
305	0.1667525778
306	0.1662781305
307	0.1659020288
308	0.1654120947
309	0.1650880712
310	0.1645508991
311	0.1639421215
312	0.1637174686
313	0.1633899851
314	0.1629478975
315	0.1625642296
316	0.1620411947
317	0.1616592844
318	0.1614837289
319	0.1611240727
320	0.1607009769
321	0.1605275156
322	0.1600188727
323	0.1594755121
324	0.1593370946
325	0.1588832524
326	0.1587631907
327	0.1584989173
328	0.1581336848
329	0.1579772545
330	0.1575213326
331	0.1574916559
332	0.1571655892
333	0.1568081471
334	0.1567799987
335	0.1564811608
336	0.1563482633
337	0.1559229028
338	0.1556605533
339	0.1555454053
340	0.1552618374
341	0.1547914849
342	0.1546599188
343	0.1543875541
344	0.1541332266
345	0.1539652386
346	0.1535261235
347	0.1530301121
348	0.1529278214
349	0.152731124
350	0.1523994608
351	0.1519921502
352	0.1517765655
353	0.151633567
354	0.1513875154
355	0.151112636
356	0.1509009854
357	0.1508450143
358	0.1506160741
359	0.150182844
360	0.1499093984
361	0.1496779317
362	0.1494765866
363	0.1491156642
364	0.1489264915
365	0.148822394
366	0.148612419
367	0.1485731835
368	0.1484377968
369	0.1482113569
370	0.1478942497
371	0.1477968294
372	0.1476144746
373	0.1475779707
374	0.1472058305
375	0.1469322331
376	0.1468442974
377	0.146524614
378	0.146343429
379	0.1462380597
380	0.1460429566
381	0.1456927351
382	0.1454522887
383	0.1453546247
384	0.1452681975
385	0.1451656652
386	0.1450019845
387	0.144797845
388	0.1445528475
389	0.1440848242
390	0.1437258999
391	0.1436172503
392	0.143329697
393	0.143038825
394	0.1428105627
395	0.142648432
396	0.1423855458
397	0.1421266759
398	0.1418740965
399	0.1416464483
400	0.1415486213
401	0.1414700251
402	0.1412255282
403	0.1410410361
404	0.1407043546
405	0.1405046685
406	0.1402427753
407	0.1401322673
408	0.1400611709
409	0.1398334045
410	0.1395056224
411	0.1393116181
412	0.1389887751
413	0.1387611348
414	0.1385437258
415	0.138215289
416	0.137892313
417	0.1375010048
418	0.1374173069
419	0.1371947622
420	0.1370333575
421	0.1367288903
422	0.1365171833
423	0.1363144633
424	0.1361865303
425	0.1359955433
426	0.1359007472
427	0.1357812799
428	0.1356773222
429	0.1354837663
430	0.1352876551
431	0.1349756533
432	0.1348243076
433	0.1346786144
434	0.1344247046
435	0.1342253695
436	0.1341817321
437	0.1339976727
438	0.1338005058
439	0.1335212219
440	0.1333395586
441	0.1332727176
442	0.1330260938
443	0.132851195
444	0.132617182
445	0.1322341583
446	0.1321551554
447	0.1320217371
448	0.1318788572
449	0.1317251317
450	0.1315744895
451	0.1313697848
452	0.1311908574
453	0.1309991206
454	0.1307384128
455	0.1305166403
456	0.1304305802
457	0.1302660959
458	0.1300944538
459	0.1300145231
460	0.1297437623
461	0.1295269368
462	0.1293636072
463	0.1292083582
464	0.1290220401
465	0.1288471899
466	0.1286659567
467	0.1285771778
468	0.1284052598
469	0.128246786
470	0.1281795444
471	0.12800592
472	0.1277990209
473	0.1276922665
474	0.1274512219
475	0.1272185305
476	0.1272023994
477	0.1269556586
478	0.1267000539
479	0.1264517302
480	0.1262864586
481	0.1261055291
482	0.1259213154
483	0.125793287
484	0.1257743906
485	0.12569329
486	0.1254321757
487	0.125327754
488	0.1251039423
489	0.1249943678
490	0.1247861589
491	0.1246275164
492	0.1244886439
493	0.124355702
494	0.1242358435
495	0.1239988937
496	0.1239039857
497	0.1238754956
498	0.1237134185
499	0.1236989147
500	0.1235755425
501	0.1233019066
502	0.1231234759
503	0.1229646452
504	0.1228357018
505	0.1226208328
506	0.1224073259
507	0.1222510331
508	0.1220711239
509	0.1218770644
510	0.121725581
511	0.1215514572
512	0.1213687558
513	0.121174344
514	0.1209370688
515	0.1209205757
516	0.1207025604
517	0.1205801126
518	0.1203514335
519	0.1202708515
520	0.1201293902
521	0.1200802259
522	0.1199231609
523	0.1199076844
524	0.1197048876
525	0.1195542051
526	0.119401399
527	0.119291194
528	0.119203084
529	0.1190175663
530	0.1188575065
531	0.1187264744
532	0.1185564104
533	0.118497637
534	0.1183955596
535	0.1183401201
536	0.1182345568
537	0.1181011232
538	0.1179202195
539	0.1177387023
540	0.1176546871
541	0.1173822445
542	0.1173395288
543	0.117288187
544	0.1172078636
545	0.1170214095
546	0.1168344757
547	0.1166875684
548	0.116430717
549	0.1163500892
550	0.116301629
551	0.1160625771
552	0.1159316379
553	0.1158826512
554	0.1157349558
555	0.1157118
556	0.1154437716
557	0.1153144602
558	0.1152023148
559	0.1150740133
560	0.1149098585
561	0.1147577458
562	0.1146346336
563	0.1143853618
