iter	Passed	Remaining
0	20	16553
1	29	11656
2	35	9261
3	42	8363
4	50	7955
5	57	7465
6	69	7827
7	80	7825
8	88	7641
9	96	7552
10	106	7534
11	113	7379
12	122	7297
13	130	7245
14	139	7189
15	147	7123
16	153	6978
17	159	6859
18	166	6758
19	178	6862
20	185	6779
21	191	6696
22	197	6598
23	204	6512
24	210	6430
25	216	6361
26	222	6275
27	228	6220
28	234	6141
29	239	6062
30	244	5984
31	249	5906
32	254	5839
33	260	5786
34	265	5735
35	275	5767
36	280	5716
37	285	5659
38	291	5606
39	296	5558
40	301	5511
41	307	5471
42	312	5432
43	317	5389
44	322	5344
45	328	5309
46	333	5271
47	338	5227
48	342	5183
49	348	5152
50	352	5114
51	357	5077
52	363	5060
53	368	5026
54	373	4993
55	379	4971
56	384	4940
57	390	4929
58	396	4918
59	401	4882
60	406	4855
61	411	4827
62	415	4796
63	420	4771
64	426	4752
65	431	4733
66	436	4709
67	442	4699
68	447	4675
69	452	4653
70	457	4631
71	462	4609
72	467	4588
73	472	4568
74	477	4553
75	483	4540
76	488	4519
77	493	4501
78	498	4486
79	503	4471
80	509	4459
81	514	4445
82	520	4430
83	527	4434
84	533	4421
85	539	4417
86	545	4409
87	551	4397
88	558	4397
89	564	4393
90	572	4394
91	579	4396
92	587	4399
93	594	4402
94	601	4404
95	608	4397
96	614	4393
97	621	4386
98	627	4380
99	633	4371
100	639	4364
101	647	4369
102	654	4365
103	661	4365
104	669	4368
105	677	4373
106	686	4378
107	693	4381
108	701	4381
109	707	4374
110	714	4369
111	720	4362
112	727	4356
113	733	4350
114	741	4349
115	748	4346
116	755	4344
117	761	4337
118	769	4336
119	775	4327
120	781	4319
121	787	4309
122	792	4296
123	798	4288
124	803	4273
125	808	4260
126	813	4247
127	818	4234
128	824	4222
129	829	4212
130	836	4207
131	842	4197
132	848	4190
133	854	4182
134	859	4171
135	865	4160
136	870	4150
137	876	4142
138	882	4132
139	887	4122
140	892	4109
141	897	4096
142	903	4086
143	908	4074
144	913	4062
145	919	4055
146	924	4043
147	929	4030
148	934	4020
149	939	4006
150	944	3995
151	949	3985
152	953	3971
153	958	3959
154	963	3948
155	968	3937
156	975	3931
157	980	3922
158	985	3910
159	990	3898
160	995	3888
161	1000	3877
162	1004	3864
163	1009	3853
164	1014	3841
165	1019	3830
166	1024	3821
167	1029	3812
168	1034	3800
169	1050	3832
170	1058	3830
171	1064	3824
172	1070	3816
173	1075	3807
174	1080	3798
175	1085	3788
176	1091	3781
177	1097	3773
178	1104	3768
179	1109	3758
180	1114	3750
181	1119	3740
182	1124	3729
183	1128	3718
184	1135	3712
185	1140	3704
186	1145	3695
187	1151	3686
188	1156	3677
189	1162	3670
190	1167	3660
191	1172	3650
192	1178	3645
193	1184	3639
194	1189	3630
195	1195	3624
196	1201	3615
197	1207	3609
198	1212	3602
199	1218	3595
200	1224	3588
201	1230	3582
202	1237	3577
203	1243	3572
204	1248	3563
205	1254	3556
206	1259	3548
207	1264	3538
208	1269	3528
209	1273	3518
210	1279	3510
211	1284	3503
212	1289	3494
213	1295	3485
214	1300	3478
215	1306	3472
216	1312	3464
217	1317	3457
218	1323	3450
219	1328	3442
220	1334	3435
221	1339	3428
222	1346	3424
223	1352	3416
224	1360	3416
225	1368	3414
226	1375	3410
227	1383	3408
228	1389	3405
229	1397	3402
230	1405	3401
231	1412	3396
232	1418	3390
233	1423	3382
234	1429	3376
235	1435	3370
236	1441	3363
237	1446	3355
238	1451	3347
239	1456	3337
240	1461	3330
241	1466	3321
242	1471	3313
243	1514	3388
244	1526	3396
245	1531	3387
246	1536	3378
247	1541	3368
248	1546	3359
249	1550	3350
250	1556	3342
251	1564	3339
252	1568	3330
253	1574	3323
254	1580	3315
255	1585	3306
256	1591	3300
257	1597	3293
258	1602	3286
259	1609	3279
260	1614	3272
261	1622	3269
262	1628	3263
263	1633	3254
264	1638	3246
265	1643	3237
266	1648	3229
267	1653	3221
268	1658	3212
269	1665	3207
270	1670	3199
271	1676	3193
272	1681	3185
273	1686	3175
274	1690	3166
275	1701	3168
276	1707	3161
277	1712	3154
278	1718	3147
279	1724	3140
280	1730	3134
281	1736	3128
282	1741	3120
283	1746	3111
284	1750	3102
285	1758	3098
286	1762	3089
287	1767	3080
288	1772	3073
289	1778	3066
290	1784	3060
291	1790	3053
292	1796	3047
293	1801	3039
294	1807	3033
295	1812	3025
296	1818	3018
297	1823	3010
298	1829	3004
299	1835	2997
300	1840	2989
301	1845	2981
302	1850	2974
303	1855	2965
304	1860	2958
305	1864	2949
306	1870	2942
307	1875	2934
308	1881	2928
309	1886	2920
310	1891	2913
311	1897	2906
312	1902	2898
313	1907	2891
314	1912	2883
315	1916	2875
316	1922	2868
317	1927	2861
318	1932	2854
319	1938	2846
320	1943	2839
321	1949	2833
322	1956	2828
323	1963	2824
324	1969	2817
325	1974	2809
326	1979	2802
327	1984	2795
328	1990	2788
329	1995	2781
330	2001	2775
331	2006	2768
332	2012	2762
333	2019	2756
334	2025	2750
335	2031	2744
336	2037	2738
337	2043	2732
338	2049	2726
339	2055	2720
340	2060	2712
341	2065	2706
342	2071	2699
343	2076	2691
344	2080	2684
345	2086	2677
346	2092	2670
347	2097	2663
348	2102	2656
349	2107	2649
350	2112	2642
351	2118	2635
352	2126	2632
353	2133	2627
354	2139	2621
355	2144	2614
356	2150	2608
357	2155	2600
358	2160	2593
359	2166	2587
360	2171	2581
361	2177	2574
362	2183	2568
363	2188	2561
364	2194	2554
365	2199	2548
366	2204	2540
367	2209	2533
368	2214	2526
